消费券		[0,0][1440,3168]
​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​​		[0,0][0,0]
消费券		[619,206][819,276]
webp		[0,0][1440,962]
规则		[1253,343][1440,441]
5折		[105,528][231,640]
8天内点亮6次必得		[339,504][784,563]
webp		[339,570][420,651]
webp		[458,570][539,651]
webp		[577,570][658,651]
webp		[696,570][777,651]
webp		[815,570][896,651]
webp		[934,570][1015,651]
立即点亮		[1046,521][1358,633]
天降福利		[45,458][217,507]
双重补贴		[231,749][493,815]
地区专享		[843,749][1102,815]
webp		[1113,745][1323,819]
webp		[0,707][1440,857]
共100元券		[45,896][332,962]
可享店铺优惠+平台消费券，补贴叠加		[343,889][1148,962]
8.5折		[304,983][430,1053]
减		[266,1134][315,1193]
50		[311,1099][423,1207]
元		[420,1134][469,1193]
最高		[423,1088][511,1137]
立即领取		[266,1267][469,1323]
9折		[990,983][1085,1053]
减		[938,1134][987,1193]
50		[983,1099][1095,1207]
元		[1092,1134][1141,1193]
最高		[1095,1088][1183,1137]
立即领取		[938,1267][1141,1323]
消费券福袋		[45,1480][353,1547]
360x		[371,1480][437,1547]
抽中7折减50元券		[444,1480][864,1547]
360x		[371,1540][437,1606]
抽中5折减5元券		[444,1540][833,1606]
奖励		[1249,1477][1361,1547]
webp		[1368,1491][1396,1533]
webp		[112,1589][413,1785]
webp		[112,1778][413,1974]
抽福袋		[175,1872][350,1935]
webp		[570,1589][871,1785]
webp		[570,1778][871,1974]
webp		[560,1872][602,1928]
抽1个后开启		[605,1876][878,1928]
限量必得		[962,1554][1155,1613]
