	返回	[0,0][1440,3168]
拼多多		[0,0][1440,3168]
百亿补贴		[598,1309][843,1400]
中国人寿财险承保		[588,1414][896,1466]
官方补贴，惊喜特价		[514,1529][1004,1596]
大牌正品，假一赔十		[514,1620][1004,1690]
知道了		[255,1764][1183,1925]
关闭按钮		[1134,1200][1228,1298]
	微星PRO MP341CQ E12 34英寸准4K120Hz 内置音箱 1500R曲面显示器	[0,0][1440,1440]
	微星PRO MP341CQ E12 34英寸准4K120Hz 内置音箱 1500R曲面显示器	[0,0][1440,1440]
	播放	[0,1212][175,1408]
1/13		[1292,1292][1408,1366]
	补贴价¥1219券后1158官方补贴品已售8.5万+元·补贴剩19件百亿补贴	[0,1440][1440,1671]
	补贴价¥1219券后1158官方补贴品已售8.5万+元·补贴剩19件百亿补贴	[28,1440][773,1552]
券后 		[116,1491][221,1548]
¥		[221,1491][254,1552]
1158		[261,1440][448,1549]
补贴价¥1219		[476,1494][727,1547]
官方补贴品		[42,1579][295,1646]
已售8.5万+元・补贴剩19件		[309,1579][880,1646]
	百亿补贴	[1122,1440][1440,1671]
百亿补贴		[1175,1527][1387,1589]
来自 # 微星电脑官方旗舰店·精选好货 #		[42,1706][1101,1768]
一次选多款 #		[1136,1706][1398,1768]
	商品款式图	[42,1803][182,1943]
内置音箱曲面显示器		[203,1820][431,1926]
	商品款式图	[473,1803][613,1943]
MAG显示器		[634,1820][862,1926]
立享9.5折		[42,2011][296,2078]
即将恢复1599元		[310,2011][699,2078]
#补贴剩19件，现在下单后天达，超时必赔3元券		[63,2111][1313,2202]
	微星PRO MP341CQ E12 34英寸准4K120Hz 内置音箱 1500R曲面显示器	[42,2230][1398,2368]
	图片	[42,2231][249,2291]
	图片	[263,2231][487,2291]
微星PRO MP341CQ E12 34英寸准4K12		[501,2230][1393,2292]
0Hz 内置音箱 1500R曲面显示器		[42,2306][778,2368]
正品发票		[792,2307][1010,2367]
1246人收藏		[55,2411][308,2468]
店铺热销		[350,2411][546,2468]
该店连续半年入选百亿补贴		[588,2411][1176,2468]
	微星品牌官方正品，100%保障	[0,2512][1440,2645]
微星		[189,2547][293,2609]
该品牌累计热销520.7万+件		[351,2547][984,2609]
# # 拼多多已补贴271.1万件显示器/显示屏		[84,2680][1366,2796]
	直接拼成	[84,2838][1356,2961]
Alpacahan(^ω^)		[225,2857][592,2914]
该店买过3次		[225,2921][509,2961]
拼单即将结束		[817,2862][1093,2916]
01		[861,2916][917,2961]
:		[917,2916][929,2961]
24		[929,2916][985,2961]
:		[985,2916][997,2961]
02		[997,2916][1053,2961]
.		[1053,2916][1065,2961]
8		[1065,2916][1093,2961]
直接拼成		[1118,2866][1356,2961]
立享优惠		[1175,2838][1356,2886]
	顶部工具栏	[0,0][1440,320]
	返回	[18,159][158,320]
	返回	[67,203][137,275]
	分享	[1282,159][1422,320]
	店铺	[27,2961][214,3168]
店铺		[75,3077][165,3139]
	收藏	[214,2961][401,3168]
收藏		[262,3077][352,3139]
	客服	[401,2961][588,3168]
客服		[449,3075][539,3137]
	补贴价补贴剩19件¥1158	[588,2961][1439,3168]
补贴剩19件 ¥ 1158		[886,2991][1379,3073]
品牌正品 发起拼单		[886,3077][1314,3139]
